#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
lava                                              (minecraft:lava)                                                                 = Lava
iron                                              (tconstruct:molten_iron)                                                         = 溶けた鉄
gold                                              (tconstruct:molten_gold)                                                         = 溶けた金
pigiron                                           (tconstruct:molten_pigiron)                                                      = 溶けたブタ鉄
cobalt                                            (tconstruct:molten_cobalt)                                                       = 溶けたコバルト
ardite                                            (tconstruct:molten_ardite)                                                       = 溶けたアーダイト
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = 溶けたマニュリン
knightslime                                       (tconstruct:molten_knightslime)                                                  = 溶けたナイトスライム
alubrass                                          (tconstruct:molten_alubrass)                                                     = 溶けたアルミブラス
brass                                             (tconstruct:molten_brass)                                                        = 溶けた黄銅
copper                                            (tconstruct:molten_copper)                                                       = 溶けた銅
tin                                               (tconstruct:molten_tin)                                                          = 溶けた錫
bronze                                            (tconstruct:molten_bronze)                                                       = 溶けた青銅
zinc                                              (tconstruct:molten_zinc)                                                         = 溶けた亜鉛
lead                                              (tconstruct:molten_lead)                                                         = 溶けた鉛
nickel                                            (tconstruct:molten_nickel)                                                       = 溶けたニッケル
silver                                            (tconstruct:molten_silver)                                                       = 溶けた銀
electrum                                          (tconstruct:molten_electrum)                                                     = 溶けたエレクトラム
steel                                             (tconstruct:molten_steel)                                                        = 溶けた鋼鉄
aluminum                                          (tconstruct:molten_aluminum)                                                     = 溶けたアルミニウム
glowstone_fluid                                   (extraplanets:glowstone)                                                         = Liquid Glowstone
magma_fluid                                       (extraplanets:magma)                                                             = Liquid Magma
nitrogen_fluid                                    (extraplanets:nitrogen)                                                          = Liquid Nitrogen
frozen_water_fluid                                (extraplanets:frozen_water)                                                      = Icy Water
salt_fluid                                        (extraplanets:salt)                                                              = Liquid Crystallized Water
radioactive_water_fluid                           (extraplanets:radioactive_water)                                                 = Radioactive Water
clean_water_fluid                                 (extraplanets:clean_water)                                                       = Clean Water
infected_water_fluid                              (extraplanets:infected_water)                                                    = Infected Water
methane_fluid                                     (extraplanets:methane)                                                           = Liquid Methane
nitrogen_ice_fluid                                (extraplanets:nitrogen_ice)                                                      = Liquid Nitrogen Ice
liquid_hydrocarbon_fluid                          (extraplanets:liquid_hydrocarbon)                                                = Liquid Hydrocarbon
liquid_chocolate_fluid                            (extraplanets:liquid_chocolate)                                                  = Liquid Chocolate
liquid_caramel_fluid                              (extraplanets:liquid_caramel)                                                    = Liquid Caramel
liquidhydrogen                                    ([no block])                                                                     = Liquid Hydrogen
liquidoxygen                                      ([no block])                                                                     = Liquid Oxygen
liquidchlorine                                    ([no block])                                                                     = Liquid Chlorine
liquidsulfurdioxide                               ([no block])                                                                     = Liquid Sulfur Dioxide
liquidsulfurtrioxide                              ([no block])                                                                     = Liquid Sulfur Trioxide
sulfuricacid                                      ([no block])                                                                     = Sulfuric Acid
liquidhydrogenchloride                            ([no block])                                                                     = Liquid Hydrogen Chloride
liquidethene                                      ([no block])                                                                     = Liquid Ethylene
liquidsodium                                      ([no block])                                                                     = Liquid Sodium
brine                                             (immersiveintelligence:brine)                                                    = Brine
liquiddeuterium                                   ([no block])                                                                     = Liquid Deuterium
liquidtritium                                     ([no block])                                                                     = Liquid Tritium
liquidfusionfuel                                  ([no block])                                                                     = Liquid D-T Fuel
liquidlithium                                     ([no block])                                                                     = Liquid Lithium
liquidhydrofluricacid                             ([no block])                                                                     = Liquid Hydrofluric Acid
liquidsuperheatedsodium                           ([no block])                                                                     = Superheated Sodium
heavywater                                        ([no block])                                                                     = Heavy Water
steam                                             ([no block])                                                                     = Steam
liquidcoralium                                    (abyssalcraft:cwater)                                                            = Liquid Coralium
liquidantimatter                                  (abyssalcraft:antiwater)                                                         = Liquid Antimatter
canolaoil                                         (actuallyadditions:block_canola_oil)                                             = Canola Oil
refinedcanolaoil                                  (actuallyadditions:block_refined_canola_oil)                                     = Refined Canola Oil
crystaloil                                        (actuallyadditions:block_crystal_oil)                                            = Crystallized Oil
empoweredoil                                      (actuallyadditions:block_empowered_oil)                                          = Empowered Oil
oil                                               (galacticraftcore:crude_oil_still)                                               = Oil
fuel                                              (galacticraftcore:fuel)                                                          = Gasoline
oxygen                                            (immersiveintelligence:oxygen)                                                   = Oxygen
hydrogen                                          (immersiveintelligence:hydrogen)                                                 = Hydrogen
bacterialsludge                                   (galacticraftplanets:sludge)                                                     = Bacterial Sludge
methane                                           ([no block])                                                                     = Methane Gas
